,TIME,CAP,TEX,CAN,LIS,SAL,STO,TAL,VES,REY,LON,SIC,KK,LAU,SPL,PET
3204,11:53:24,-74.8666,17.2931,-80.43,-1.933,-11.168,-65.5812,3.09266,-172.330968,-38.4661,-27.6146,-14.5425,31.4448,17.5379,35.1168,19.7447
3205,11:53:25,-78.5576,18.5242,-79.58,-0.557,-9.84793,-66.6967,2.24465,-166.165816,-39.1804,-27.5437,-14.8811,31.4219,16.4306,34.6363,20.2926
3206,11:53:26,-80.6242,17.6827,-82.193,2.479,-6.98163,-69.4934,2.15713,-153.08106,-38.7643,-26.2459,-14.0916,31.816,17.1067,35.1963,21.312
3207,11:53:27,-82.0685,16.3153,-84.984,4.084,-5.90465,-72.6266,2.18922,-144.897438,-39.2367,-25.3118,-13.7631,32.8346,17.9849,35.0224,22.7929
3208,11:53:28,-83.9042,15.3281,-88.531,7.673,-3.44907,-76.8924,1.0319,-146.547478,-37.6986,-24.5975,-13.0206,33.6038,18.9292,34.556,21.6661
3209,11:53:29,-85.425,14.576,-92.191,10.481,-1.3411,-80.542,1.37129,-146.128072,-36.695,-27.0582,-13.2043,35.1381,19.5441,33.0291,19.0916
3210,11:53:30,-86.858,14.3564,-97.293,12.405,2.48968,-83.0797,2.07527,-138.729725,-34.6887,-27.9994,-13.6076,36.9195,18.7774,31.1215,17.4374
3211,11:53:31,-88.7253,13.71,-105.03,10.896,3.57264,-85.5642,2.69627,-142.371653,-32.5476,-29.8618,-14.3858,38.1467,18.8083,30.1134,18.2518
3212,11:53:32,-89.8687,13.6196,-115.183,11.284,4.63961,-90.5588,5.31078,-150.874399,-30.9343,-31.7542,-15.8413,37.9488,19.973,30.212,20.0459
3213,11:53:33,-91.6091,14.568,-124.567,12.99,5.17994,-96.0564,6.2725,-163.770484,-26.8342,-32.2749,-16.3233,36.7343,22.1949,31.3874,21.1698
3214,11:53:34,-92.9029,16.2941,-128.862,13.457,6.89349,-100.322,7.28582,-183.847229,-25.8904,-33.969,-14.9739,36.5437,22.1611,32.0192,21.2216
3215,11:53:35,-94.8328,17.5911,-129.535,10.698,6.48545,-102.537,6.25125,-196.509726,-21.4992,-33.3952,-13.8269,37.2419,21.354,33.1576,20.6133
3216,11:53:36,-97.6623,17.5265,-133.759,10.504,5.58569,-103.878,6.93713,-193.168109,-17.6327,-32.8264,-11.7691,38.0377,19.8215,32.7073,20.3602
3217,11:53:37,-101.302,17.0307,-141.125,12.165,6.62712,-102.727,5.08463,-183.314682,-13.2307,-31.6218,-10.922,39.1364,18.9954,31.4872,22.5562
3218,11:53:38,-103.562,15.8205,-149.944,9.059,7.31578,-101.473,2.38277,-171.185027,-8.20155,-30.8127,-8.85572,39.4713,18.2631,30.5526,25.3163
3219,11:53:39,-104.265,15.0576,-159.553,4.364,8.64559,-100.312,1.17102,-154.854179,-5.3502,-32.3118,-8.95826,39.6124,18.3919,31.2636,26.4915
3220,11:53:40,-103.593,14.7599,-167.028,3.098,9.71854,-98.8375,0.492405,-140.064344,-2.43029,-34.202,-8.97958,36.989,19.9654,34.0192,26.9122
3221,11:53:41,-102.37,15.2782,-168.379,4.578,9.5512,-96.3975,0.92337,-136.936542,-0.302898,-35.8645,-7.62863,34.5724,21.0512,35.5795,26.9095
3222,11:53:42,-101.467,16.0471,-163.96,4.291,10.5406,-94.4331,0.169523,-131.074322,1.04185,-36.5071,-6.41492,34.4254,22.2765,36.6688,26.2889
3223,11:53:43,-99.1262,16.0802,-157.35,0.564,11.3491,-93.0795,-1.34478,-115.837823,3.09809,-35.4907,-4.83773,34.4801,21.523,36.4569,26.8252
3224,11:53:44,-97.3779,15.0327,-151.187,-1.62,10.3322,-89.4796,-3.09947,-106.400849,3.64182,-33.6064,-3.25312,34.2083,22.6117,35.7291,26.2847
3225,11:53:45,-95.2352,14.2736,-146.787,-3.105,9.49783,-86.5111,-3.00971,-122.539778,4.2153,-31.6037,-3.30742,32.6505,24.4414,36.6803,24.1722
3226,11:53:46,-94.4993,13.0647,-144.976,-6.323,10.0111,-82.6702,-4.34646,-139.17287,3.04415,-31.75,-5.26519,31.7548,24.7604,37.1826,21.7422
3227,11:53:47,-93.2575,11.2581,-145.761,-10.611,7.49625,-79.51,-5.20364,-159.39686,2.28822,-32.203,-5.85056,29.7075,24.7167,37.4225,19.7361
3228,11:53:48,-92.8596,10.1772,-149.968,-12.664,7.32047,-75.4964,-4.45036,-169.114659,2.97115,-32.6533,-5.43909,28.6745,24.5703,38.9224,19.3004
3229,11:53:49,-88.5557,9.10276,-153.659,-14.215,5.99492,-70.8208,-3.18563,-159.329283,2.05665,-33.4284,-5.64413,27.1559,23.8714,39.6374,17.9418
3230,11:53:50,-84.5128,8.2845,-155.787,-14.885,5.93829,-68.0988,-4.27156,-141.118421,6.62936,-32.3904,-5.93064,26.4699,21.6556,40.4148,17.4771
3231,11:53:51,-76.7074,8.11575,-156.365,-17.211,3.93721,-67.3909,-5.51947,-127.642502,8.07173,-30.2012,-5.48461,26.8057,20.6228,40.7614,15.1847
3232,11:53:52,-70.7863,9.32429,-156.335,-20.44,3.99374,-67.1603,-6.19133,-119.724938,11.3753,-29.0734,-4.97836,25.5035,19.8185,41.6514,14.335
3233,11:53:53,-65.029,10.3212,-155.638,-19.927,4.3429,-66.5624,-5.02616,-108.102845,14.8141,-26.3445,-6.26118,24.6398,17.3178,42.2332,15.3072
3234,11:53:54,-59.356,10.7686,-154.044,-19.999,2.74318,-64.0947,-4.39061,-102.430152,16.5971,-24.1972,-7.37323,24.3063,14.9122,41.867,17.0675
3235,11:53:55,-53.9971,10.7081,-152.864,-21.64,2.66065,-60.7109,-5.50346,-98.819737,21.8337,-20.6986,-7.10255,23.2162,13.2655,40.4819,19.5244
3236,11:53:56,-48.5789,12.1594,-156.302,-22.961,2.97935,-56.7888,-4.18278,-99.858447,24.3829,-17.0006,-6.60759,23.8118,13.0664,40.1442,21.221
3237,11:53:57,-42.7448,13.9542,-164.684,-22.411,2.35428,-53.4404,-3.82167,-114.02138,27.5103,-12.9443,-6.82187,23.7767,14.2367,39.749,21.5419
3238,11:53:58,-37.8029,15.6895,-173.86,-20.502,1.47884,-49.8883,-3.69048,-137.604406,31.1159,-11.4779,-6.7573,23.7232,13.9061,38.7465,21.9361
3239,11:53:59,-35.481,16.7616,-183.701,-21.662,0.589953,-47.5725,-4.10646,-153.364978,32.256,-10.3974,-6.87058,24.8681,12.5331,36.7037,24.0693
3240,11:54:00,-31.4804,16.1995,-190.897,-23.075,1.26686,-45.5315,-4.73906,-174.015146,32.4149,-9.85622,-7.5604,24.1959,12.5078,33.8014,25.8401
3241,11:54:01,-26.8825,15.0803,-193.365,-21.819,1.53067,-43.8149,-5.05207,-198.24885,32.0344,-8.74144,-7.96093,22.7875,13.1252,32.0603,27.3112
3242,11:54:02,-23.4538,14.44,-193.666,-19.541,1.29745,-43.5761,-5.18731,-205.316532,30.6016,-7.12279,-7.9574,21.6884,14.8929,31.2998,28.9687
3243,11:54:03,-18.3898,14.3156,-188.818,-18.011,-0.819252,-42.307,-4.45227,-202.649103,29.1051,-5.60468,-6.90923,21.5515,14.6448,32.1189,29.0285
3244,11:54:04,-14.6883,13.7943,-182.824,-19.224,-1.11387,-40.1832,-2.9067,-182.861443,27.3223,-5.2437,-5.96405,21.0805,14.3941,32.759,27.8405
3245,11:54:05,-9.42123,12.9206,-179.671,-17.467,-1.77294,-38.5995,-3.5109,-169.275196,27.7513,-4.36315,-4.15165,20.5463,13.9172,31.9931,25.1821
3246,11:54:06,-5.4384,12.8899,-180.704,-13.741,-2.9373,-37.0062,-2.85945,-165.114544,28.0619,-4.59372,-3.18776,20.5672,14.8176,31.4218,24.4217
3247,11:54:07,-2.45578,14.3867,-183.963,-14.916,-2.94853,-38.526,-2.66657,-172.617895,25.4545,-6.77908,-3.2981,20.8829,14.894,30.8049,24.3413
3248,11:54:08,-1.55341,15.6438,-188.461,-14.964,-3.13274,-40.1476,-1.60986,-189.116614,22.2483,-7.63789,-2.54513,20.8921,14.7672,31.9417,23.6828
3249,11:54:09,-1.23917,16.3888,-193.333,-13.16,-4.00282,-41.3882,-1.56688,-194.610467,16.9892,-10.5602,-1.98319,19.689,14.9327,34.434,23.4787
3250,11:54:10,-1.81316,15.911,-200.021,-10.739,-4.12518,-41.3663,-1.65172,-186.152097,13.3535,-11.2957,-1.60406,18.0698,16.7163,36.5861,23.022
3251,11:54:11,-0.943766,15.112,-210.929,-13.25,-2.07637,-40.5589,-2.38225,-169.913588,7.36553,-9.03193,0.452443,16.5309,16.6372,36.5678,22.9801
3252,11:54:12,2.4223,14.2272,-218.929,-17.372,0.598886,-40.3375,-3.04551,-165.754762,2.52372,-7.4266,1.0414,16.1256,17.647,35.0801,23.9567
3253,11:54:13,5.30746,13.4147,-225.124,-17.256,1.8882,-41.3894,-1.20356,-166.322198,-0.990156,-5.67956,-1.11817,15.7395,18.5623,33.4437,25.4098
3254,11:54:14,7.28132,11.8227,-228.229,-14.665,4.22629,-42.4741,-0.098815,-167.440597,-3.43725,-5.4845,-1.56478,14.3815,19.3194,33.9419,26.3926
3255,11:54:15,11.4926,10.7646,-229.672,-15.528,6.89307,-44.5109,0.683968,-161.213444,-4.43943,-5.10048,-1.57301,14.0076,19.8787,36.4628,27.3296
3256,11:54:16,14.4112,9.40138,-226.505,-16.417,8.65795,-46.2402,3.05332,-147.83138,-5.14419,-4.53523,-2.37228,13.601,19.7805,38.4469,28.7491
3257,11:54:17,18.4337,8.24478,-219.439,-14.479,13.1376,-46.7648,2.24117,-133.412944,-6.26693,-3.67612,-3.79879,12.9991,19.0012,39.2944,28.7111
3258,11:54:18,22.5546,7.29841,-208.22,-11.885,15.7268,-46.8073,2.37329,-132.379832,-8.34555,-4.37936,-4.2405,12.8856,17.1222,38.5903,30.2541
3259,11:54:19,24.2938,6.72169,-199.67,-11.775,18.5869,-45.14,1.41384,-141.593427,-10.4398,-8.57236,-3.46664,13.2406,16.7188,37.9912,32.2691
3260,11:54:20,25.3401,7.3107,-193.66,-12.478,20.0824,-43.9232,3.04343,-153.95275,-13.0746,-12.8034,-3.62087,14.1914,18.3091,39.1199,34.016
3261,11:54:21,26.2781,8.93145,-189.912,-14.644,23.7433,-43.7121,4.6918,-168.100842,-15.1013,-17.2792,-4.0555,13.9038,18.0898,39.0426,35.6346
